出現形	ICDコード	標準病名	しゅつげんけい	東大診療録頻度
僧帽弁輪石灰化	I348	僧帽弁輪石灰化	そうぼうべんりんせっかいか	531
先天性白内障	Q120	先天性白内障	せんてんせいはくないしょう	531
肺性心	I279	肺性心	はいせいしん	531
遷延性意識障害	R402	遷延性意識障害	せんえんせいいしきしょうがい	531
びまん性軸索損傷	S062	びまん性軸索損傷	びまんせいじくさくそんしょう	531
乾皮症	L853	乾皮症	かんぴしょう	530
歯冠破折	K038	歯冠破折	しかんはせつ	530
高血圧性心疾患	I119	高血圧性心疾患	こうけつあつせいしんしっかん	529
慢性肉芽腫症	D71	慢性肉芽腫症	まんせいにくげしゅしょう	527
非浸潤性乳管癌	D051	非浸潤性乳管癌	ひしんじゅんせいにゅうかんがん	527
常位胎盤早期剥離	O459	常位胎盤早期剥離	じょういたいばんそうきはくり	526
背部脂肪腫	D171	背部脂肪腫	はいぶしぼうしゅ	525
肺損傷	S273	肺損傷	はいそんしょう	525
骨巨細胞腫	D169	骨巨細胞腫	こつきょさいぼうしゅ	524
十二指腸閉塞	K315	十二指腸閉塞	じゅうにしちょうへいそく	524
剣創状強皮症	L941	剣創状強皮症	けんそうじょうきょうひしょう	523
急性薬物中毒	T509	急性薬物中毒	きゅうせいやくぶつちゅうどく	523
皮膚サルコイドーシス	D863	皮膚サルコイドーシス	ひふさるこいどーしす	523
全身痙攣発作	R568	全身痙攣発作	ぜんしんけいれんほっさ	522
膀胱出血	N328	膀胱出血	ぼうこうしゅっけつ	522
胸鎖関節炎	M1311	胸鎖関節炎	きょうさかんせつえん	522
結核腫	A169	結核腫	けっかくしゅ	521
動脈損傷	T145	動脈損傷	どうみゃくそんしょう	521
中等度難聴	H919	中等度難聴	ちゅうとうどなんちょう	520
伝染性紅斑	B083	伝染性紅斑	でんせんせいこうはん	519
頬粘膜癌	C060	頬粘膜癌	きょうねんまくがん	519
脊髄性筋萎縮症	G122	脊髄性筋萎縮症	せきずいせいきんいしゅくしょう	518
胃腫瘍	D371	胃腫瘍	いしゅよう	517
頬部痛	R51	頬部痛	きょうぶつう	517
橋出血	I613	橋出血	きょうしゅっけつ	514
甲状腺クリーゼ	E055	甲状腺クリーゼ	こうじょうせんくりーぜ	514
後頭部腫瘤	R220	後頭部腫瘤	こうとうぶしゅりゅう	514
天疱瘡	L109	天疱瘡	てんぽうそう	514
歌舞伎症候群	Q870	歌舞伎症候群	かぶきしょうこうぐん	513
趾骨髄炎	M8697	趾骨髄炎	しこつずいえん	513
ステロイド緑内障	H406	ステロイド緑内障	すてろいどりょくないしょう	512
副腎皮質機能低下症	E274	副腎皮質機能低下症	ふくじんひしつきのうていかしょう	511
先端巨大症	E220	先端巨大症	せんたんきょだいしょう	511
子癇発作	O159	子癇発作	しかんほっさ	511
義歯不適合	T888	義歯不適合	ぎしふてきごう	511
腱損傷	T146	腱損傷	けんそんしょう	508
上行結腸ポリープ	K635	上行結腸ポリープ	じょうこうけっちょうぽりーぷ	506
急性アルコール中毒	F100	急性アルコール中毒	きゅうせいあるこーるちゅうどく	506
胸部下部食道癌	C151	胸部下部食道癌	きょうぶかぶしょくどうがん	505
急性一過性精神病性障害	F239	急性一過性精神病性障害	きゅうせいいっかせいせいしんびょうせいしょうがい	505
手指関節炎	M1314	手指関節炎	しゅしかんせつえん	505
アデノイド増殖症	J358	アデノイド増殖症	あでのいどぞうしょくしょう	503
脊椎腫瘍	D480	脊椎腫瘍	せきついしゅよう	502
難治性口内炎	K121	難治性口内炎	なんちせいこうないえん	502
骨髄低形成	D619	骨髄低形成	こつずいていけいせい	501
斜視	H509	斜視	しゃし	501
流涙	H042	流涙	りゅうるい	501
顎関節痛	K076	顎関節痛	がくかんせつつう	501
肝萎縮	K729	肝萎縮	かんいしゅく	500
新生児無呼吸発作	P284	新生児無呼吸発作	しんせいじむこきゅうほっさ	499
腎明細胞肉腫	C64	腎明細胞肉腫	じんめいさいぼうにくしゅ	499
側頭骨骨折	S0210	側頭骨骨折	そくとうこつこっせつ	499
流行性角結膜炎	B300	流行性角結膜炎	りゅうこうせいかくけつまくえん	499
上葉肺癌	C341	上葉肺癌	じょうようはいがん	498
パーソナリティ障害	F609	パーソナリティ障害	ぱーそなりてぃしょうがい	497
坐骨骨折	S3280	坐骨骨折	ざこつこっせつ	497
外耳道閉鎖	Q161	外耳道閉鎖	がいじどうへいさ	497
肺動静脈瘻	I280	肺動静脈瘻	はいどうじょうみゃくろう	496
子宮穿孔	S376	子宮穿孔	しきゅうせんこう	496
肺結核後遺症	B909	肺結核後遺症	はいけっかくこういしょう	495
尿細管間質性腎炎	N12	尿細管間質性腎炎	にょうさいかんかんしつせいじんえん	495
頚髄腫瘍	D434	頚髄腫瘍	けいずいしゅよう	493
放射線食道炎	K20	放射線食道炎	ほうしゃせんしょくどうえん	493
歯肉癌	C039	歯肉癌	しにくがん	492
深在性真菌症	B487	深在性真菌症	しんざいせいしんきんしょう	492
痛風性関節炎	M1009	痛風性関節炎	つうふうせいかんせつえん	492
自律神経発作	F445	自律神経発作	じりつしんけいほっさ	492
糖尿病性潰瘍	E145	糖尿病性潰瘍	とうにょうびょうせいかいよう	491
急性精神病	F239	急性精神病	きゅうせいせいしんびょう	491
乳管内乳頭腫	D24	乳管内乳頭腫	にゅうかんないにゅうとうしゅ	490
眼サルコイドーシス	D868	眼サルコイドーシス	がんさるこいどーしす	490
壮年性白内障	H260	壮年性白内障	そうねんせいはくないしょう	488
下腿静脈瘤	I839	下腿静脈瘤	かたいじょうみゃくりゅう	488
骨盤痛	R102	骨盤痛	こつばんつう	488
Ｓ状結腸憩室出血	K573	Ｓ状結腸憩室出血	Ｓじょうけっちょうけいしつしゅっけつ	487
Ｂ型劇症肝炎	B169	Ｂ型劇症肝炎	びーがたげきしょうかんえん	487
卵管留血腫	N836	卵管留血腫	らんかんりゅうけつしゅ	487
塞栓性脳梗塞	I634	塞栓性脳梗塞	そくせんせいのうこうそく	487
強皮症腎	M348	強皮症腎	きょうひしょうじん	486
新生児低血糖	P704	新生児低血糖	しんせいじていけっとう	486
肛門ポリープ	K620	肛門ポリープ	こうもんぽりーぷ	485
産褥性心筋症	O903	産褥性心筋症	さんじょくせいしんきんしょう	484
伝染性軟属腫	B081	伝染性軟属腫	でんせんせいなんぞくしゅ	484
腎動脈瘤	I722	腎動脈瘤	じんどうみゃくりゅう	483
全前脳胞症	Q042	全前脳胞症	ぜんぜんのうほうしょう	483
肝硬変症	K746	肝硬変症	かんこうへんしょう	482
薬剤性腸炎	K528	薬剤性腸炎	やくざいせいちょうえん	482
食道通過障害	K228	食道通過障害	しょくどうつうかしょうがい	481
術後呼吸不全	J959	術後呼吸不全	じゅつごこきゅうふぜん	481
急性前壁心筋梗塞	I210	急性前壁心筋梗塞	きゅうせいぜんぺきしんきんこうそく	480
筋無力症	G709	筋無力症	きんむりょくしょう	480
湿疹続発性紅皮症	L539	湿疹続発性紅皮症	しっしんぞくはつせいこうひしょう	479
溢流性尿失禁	N394	溢流性尿失禁	いつりゅうせいにょうしっきん	479
低マグネシウム血症	E834	低マグネシウム血症	ていまぐねしうむけっしょう	479
家族性大腸ポリポーシス	D126	家族性大腸ポリポーシス	かぞくせいだいちょうぽりぽーしす	478
網膜血管炎	H350	網膜血管炎	もうまくけっかんえん	478
僧帽弁逸脱	I341	僧帽弁逸脱	そうぼうべんいつだつ	477
馬尾神経腫瘍	D434	馬尾神経腫瘍	ばびしんけいしゅよう	476
牛乳アレルギー	T781	牛乳アレルギー	ぎゅうにゅうあれるぎー	475
周期性四肢麻痺	G723	周期性四肢麻痺	しゅうきせいししまひ	474
回盲部腫瘤	R190	回盲部腫瘤	かいもうぶしゅりゅう	474
低色素性貧血	D509	低色素性貧血	ていしきそせいひんけつ	474
直腸腺腫	D128	直腸腺腫	ちょくちょうせんしゅ	473
軽度近視	H521	軽度近視	けいどきんし	473
Ｓ状結腸憩室穿孔	K572	Ｓ状結腸憩室穿孔	Ｓじょうけっちょうけいしつせんこう	472
特発性大腿骨頭壊死	M8705	特発性大腿骨頭壊死	とくはつせいだいたいこっとうえし	472
急性閉塞性化膿性胆管炎	K830	急性閉塞性化膿性胆管炎	きゅうせいへいそくせいかのうせいたんかんえん	471
甲状腺眼症	E059	甲状腺眼症	こうじょうせんがんしょう	470
下垂足	M2137	下垂足	かすいそく	470
眼瞼炎	H010	眼瞼炎	がんけんえん	470
急性腎前性腎不全	N178	急性腎前性腎不全	きゅうせいじんぜんせいじんふぜん	468
胸骨骨折	S2220	胸骨骨折	きょうこつこっせつ	468
多発性ラクナ梗塞	I638	多発性ラクナ梗塞	たはつせいらくなこうそく	467
喀痰喀出困難	R093	喀痰喀出困難	かくたんかくしゅつこんなん	467
猩紅熱	A38	猩紅熱	しょうこうねつ	466
糖尿病性腎不全	E142	糖尿病性腎不全	とうにょうびょうせいじんふぜん	466
過労	T733	過労	かろう	466
粉砕骨折	T1420	粉砕骨折	ふんさいこっせつ	465
肺門リンパ節腫脹	R590	肺門リンパ節腫脹	はいもんりんぱせつしゅちょう	465
急性尿細管壊死	N170	急性尿細管壊死	きゅうせいにょうさいかんえし	463
股関節症	M169	股関節症	こかんせつしょう	463
知覚麻痺	R448	知覚麻痺	ちかくまひ	463
多巣性運動ニューロパチー	G618	多巣性運動ニューロパチー	たそうせいうんどうにゅーろぱちー	462
盲腸腫瘍	D374	盲腸腫瘍	もうちょうしゅよう	461
急性肺水腫	J81	急性肺水腫	きゅうせいはいすいしゅ	461
肘関節痛	M2552	肘関節痛	ちゅうかんせつつう	461
四肢振戦	R251	四肢振戦	しししんせん	461
増殖性糖尿病性網膜症	E143	増殖性糖尿病性網膜症	ぞうしょくせいとうにょうびょうせいもうまくしょう	460
咽頭腫瘍	D370	咽頭腫瘍	いんとうしゅよう	460
上顎洞癌	C310	上顎洞癌	じょうがくどうがん	458
結石性腎盂腎炎	N209	結石性腎盂腎炎	けっせきせいじんうじんえん	458
高機能自閉症	F840	高機能自閉症	こうきのうじへいしょう	457
橋本脳症	E063	橋本脳症	はしもとのうしょう	456
咀嚼障害	K088	咀嚼障害	そしゃくしょうがい	456
成長ホルモン分泌不全性低身長症	E230	成長ホルモン分泌不全性低身長症	せいちょうほるもんぶんぴふぜんせいていしんちょうしょう	456
頚椎後縦靱帯骨化症	M4882	頚椎後縦靱帯骨化症	けいついこうじゅうじんたいこつかしょう	455
頚椎亜脱臼	S131	頚椎亜脱臼	けいついあだっきゅう	454
子宮内胎児死亡	O364	子宮内胎児死亡	しきゅうないたいじしぼう	453
ハント症候群	B022	ハント症候群	はんとしょうこうぐん	453
葉状腫瘍	D486	葉状腫瘍	ようじょうしゅよう	452
勃起不全	F522	勃起不全	ぼっきふぜん	452
急性疼痛	R520	急性疼痛	きゅうせいとうつう	452
喉頭狭窄症	J386	喉頭狭窄症	こうとうきょうさくしょう	451
心膜液貯留	I319	心膜液貯留	しんまくえきちょりゅう	449
子宮頚部異形成	N879	子宮頚部異形成	しきゅうけいぶいけいせい	448
骨軟化症	M8399	骨軟化症	こつなんかしょう	448
後腹膜脂肪肉腫	C480	後腹膜脂肪肉腫	こうふくまくしぼうにくしゅ	447
副腎クリーゼ	E272	副腎クリーゼ	ふくじんくりーぜ	447
網膜中心動脈閉塞症	H341	網膜中心動脈閉塞症	もうまくちゅうしんどうみゃくへいそくしょう	446
口内乾燥	R682	口内乾燥	こうないかんそう	446
陳旧性前壁中隔心筋梗塞	I252	陳旧性前壁中隔心筋梗塞	ちんきゅうせいぜんぺきちゅうかくしんきんこうそく	445
性格変化	F629	性格変化	せいかくへんか	445
洞房ブロック	I455	洞房ブロック	どうぼうぶろっく	445
半月体形成性糸球体腎炎	N057	半月体形成性糸球体腎炎	はんげつたいけいせいせいしきゅうたいじんえん	444
直腸腫瘤	K628	直腸腫瘤	ちょくちょうしゅりゅう	444
後天性表皮水疱症	L123	後天性表皮水疱症	こうてんせいひょうひすいほうしょう	444
後腹膜気腫	K668	後腹膜気腫	こうふくまくきしゅ	443
低ガンマグロブリン血症	D801	低ガンマグロブリン血症	ていがんまぐろぶりんけっしょう	442
耳瘻孔	H618	耳瘻孔	じろうこう	442
子宮ポリープ	N840	子宮ポリープ	しきゅうぽりーぷ	442
内分泌疾患	E349	内分泌疾患	ないぶんぴしっかん	442
仙腸関節痛	M2555	仙腸関節痛	せんちょうかんせつつう	442
肘頭骨折	S5200	肘頭骨折	ちゅうとうこっせつ	441
回旋異常	O329	回旋異常	かいせんいじょう	440
運動発達遅滞	F82	運動発達遅滞	うんどうはったつちたい	440
湿性ラ音	R098	湿性ラ音	しっせいらおん	440
チクチク感	R202	チクチク感	ちくちくかん	440
マラセチア毛包炎	B452	マラセチア毛包炎	まらせちあもうほうえん	440
急性細気管支炎	J219	急性細気管支炎	きゅうせいさいきかんしえん	437
血小板減少性紫斑病	D694	血小板減少性紫斑病	けっしょうばんげんしょうせいしはんびょう	437
薬剤性パーキンソン症候群	G211	薬剤性パーキンソン症候群	やくざいせいぱーきんそんしょうこうぐん	436
凍瘡	T691	凍瘡	とうそう	436
陰核肥大	N908	陰核肥大	いんかくひだい	435
胃痙攣	K318	胃痙攣	いけいれん	434
水痘	B019	水痘	すいとう	433
解離性動脈瘤	I729	解離性動脈瘤	かいりせいどうみゃくりゅう	433
特発性浮腫	R609	特発性浮腫	とくはつせいふしゅ	433
皮膚落屑	R234	皮膚落屑	ひふらくせつ	433
副腎白質ジストロフィー	E713	副腎白質ジストロフィー	ふくじんはくしつじすとろふぃー	432
細菌性膀胱炎	N308	細菌性膀胱炎	さいきんせいぼうこうえん	432
脳静脈洞血栓症	G08	脳静脈洞血栓症	のうじょうみゃくどうけっせんしょう	431
抜歯後出血	T810	抜歯後出血	ばっしごしゅっけつ	431
盲腸炎	K529	盲腸炎	もうちょうえん	429
上肢リンパ浮腫	I890	上肢リンパ浮腫	じょうしりんぱふしゅ	429
皮膚瘻	L988	皮膚瘻	ひふろう	428
強皮症腎クリーゼ	M348	強皮症腎クリーゼ	きょうひしょうじんくりーぜ	427
皮膚線維腫	D239	皮膚線維腫	ひふせんいしゅ	427
薬剤性糖尿病	E13	薬剤性糖尿病	やくざいせいとうにょうびょう	426
右室低形成	Q226	右室低形成	うしつていけいせい	425
内ヘルニア	K469	内ヘルニア	ないへるにあ	425
球麻痺	G122	球麻痺	きゅうまひ	424
大脳鎌髄膜腫	D320	大脳鎌髄膜腫	だいのうかまずいまくしゅ	424
慢性心筋炎	I514	慢性心筋炎	まんせいしんきんえん	424
食道腫瘍	D377	食道腫瘍	しょくどうしゅよう	423
脊髄脂肪腫	D177	脊髄脂肪腫	せきずいしぼうしゅ	423
外反母趾	M201	外反母趾	がいはんぼし	423
直腸静脈瘤	I842	直腸静脈瘤	ちょくちょうじょうみゃくりゅう	423
裂肛	K602	裂肛	れっこう	423
そう痒	L299	そう痒	そうよう	423
骨髄転移	C795	骨髄転移	こつずいてんい	422
骨腫	D169	骨腫	こつしゅ	422
膀胱損傷	S372	膀胱損傷	ぼうこうそんしょう	422
溺水	T751	溺水	できすい	422
不全対麻痺	G822	不全対麻痺	ふぜんついまひ	422
うっ血肝	K761	うっ血肝	うっけつかん	422
急性膀胱炎	N300	急性膀胱炎	きゅうせいぼうこうえん	420
尿細管性アシドーシス	N258	尿細管性アシドーシス	にょうさいかんせいあしどーしす	419
ヘバーデン結節	M151	ヘバーデン結節	へばーでんけっせつ	419
打撲傷	T140	打撲傷	だぼくしょう	419
尿管結石症	N201	尿管結石症	にょうかんけっせきしょう	418
口唇ジスキネジア	G244	口唇ジスキネジア	こうしんじすきねじあ	418
身体化障害	F450	身体化障害	しんたいかしょうがい	418
末梢性Ｔ細胞リンパ腫	C844	末梢性Ｔ細胞リンパ腫	まっしょうせいＴさいぼうりんぱしゅ	417
食道ポリープ	K228	食道ポリープ	しょくどうぽりーぷ	417
無症候性膿尿	N390	無症候性膿尿	むしょうこうせいのうにょう	417
下半身浮腫	R600	下半身浮腫	かはんしんふしゅ	417
先天性サイトメガロウイルス感染症	P351	先天性サイトメガロウイルス感染症	せんてんせいさいとめがろういるすかんせんしょう	416
不全骨折	T1420	不全骨折	ふぜんこっせつ	416
母乳性黄疸	P593	母乳性黄疸	ぼにゅうせいおうだん	416
老人性乾皮症	L853	老人性乾皮症	ろうじんせいかんぴしょう	416
神経過敏	R450	神経過敏	しんけいかびん	416
緑色便	R195	緑色便	りょくしょくべん	416
ラテックスアレルギー	T784	ラテックスアレルギー	らてっくすあれるぎー	416
内軟骨腫	D169	内軟骨腫	ないなんこつしゅ	415
高口蓋	Q385	高口蓋	こうこうがい	415
丘疹紅皮症	L538	丘疹紅皮症	きゅうしんこうひしょう	415
脳室炎	G049	脳室炎	のうしつえん	415
化膿性リンパ節炎	L049	化膿性リンパ節炎	かのうせいりんぱせつえん	414
上行結腸腫瘍	D374	上行結腸腫瘍	じょうこうけっちょうしゅよう	414
尺骨茎状突起骨折	S5280	尺骨茎状突起骨折	しゃっこつけいじょうとっきこっせつ	413
若年性関節リウマチ	M0800	若年性関節リウマチ	じゃくねんせいかんせつりうまち	413
月経前症候群	N943	月経前症候群	げっけいぜんしょうこうぐん	413
発汗障害	L749	発汗障害	はっかんしょうがい	412
頭部腫瘤	R220	頭部腫瘤	とうぶしゅりゅう	409
下肢拘縮	M2459	下肢拘縮	かしこうしゅく	409
陳旧性下壁心筋梗塞	I252	陳旧性下壁心筋梗塞	ちんきゅうせいかへきしんきんこうそく	408
胚細胞腫	C80	胚細胞腫	はいさいぼうしゅ	408
四肢不全麻痺	G825	四肢不全麻痺	ししふぜんまひ	408
脳振盪	S060	脳振盪	のうしんとう	407
アトピー咳嗽	R05	アトピー咳嗽	あとぴーがいそう	407
胃体部癌	C162	胃体部癌	いたいぶがん	406
胎児不整脈	O680	胎児不整脈	たいじふせいみゃく	406
赤痢	A039	赤痢	せきり	405
急性心膜炎	I309	急性心膜炎	きゅうせいしんまくえん	405
環状肉芽腫	L920	環状肉芽腫	かんじょうにくげしゅ	404
亜イレウス	K567	亜イレウス	あいれうす	403
盲腸ポリープ	K635	盲腸ポリープ	もうちょうぽりーぷ	403
胆管腫瘍	D376	胆管腫瘍	たんかんしゅよう	403
偽性副甲状腺機能低下症	E201	偽性副甲状腺機能低下症	ぎせいふくこうじょうせんきのうていかしょう	403
黒内障	H540	黒内障	こくないしょう	402
正常妊娠	Z349	正常妊娠	せいじょうにんしん	401
寝汗	R619	寝汗	ねあせ	401
脳底動脈瘤	I671	脳底動脈瘤	のうていどうみゃくりゅう	401
多汗症	R619	多汗症	たかんしょう	401
後頭神経痛	M7928	後頭神経痛	こうとうしんけいつう	401
ポリープ様声帯	J381	ポリープ様声帯	ぽりーぷようせいたい	400
回腸炎	A09	回腸炎	かいちょうえん	400
急性腹膜炎	K650	急性腹膜炎	きゅうせいふくまくえん	400
結節性甲状腺腫	E049	結節性甲状腺腫	けっせつせいこうじょうせんしゅ	400
腎出血	N288	腎出血	じんしゅっけつ	400
弛緩性麻痺	G839	弛緩性麻痺	しかんせいまひ	400
ボーエン病	D049	ボーエン病	ぼーえんびょう	400
慢性下痢症	K529	慢性下痢症	まんせいげりしょう	399
慢性腎盂腎炎	N119	慢性腎盂腎炎	まんせいじんうじんえん	399
カテーテル感染症	T814	カテーテル感染症	かてーてるかんせんしょう	397
腸間膜リンパ節転移	C772	腸間膜リンパ節転移	ちょうかんまくりんぱせつてんい	397
前脊髄動脈症候群	G951	前脊髄動脈症候群	ぜんせきずいどうみゃくしょうこうぐん	397
乾癬性紅皮症	L408	乾癬性紅皮症	かんせんせいこうひしょう	396
角膜びらん	H160	角膜びらん	かくまくびらん	396
アナフィラクトイド紫斑	D690	アナフィラクトイド紫斑	あなふぃらくといどしはん	396
肺炎球菌性髄膜炎	G001	肺炎球菌性髄膜炎	はいえんきゅうきんせいずいまくえん	396
乱視	H522	乱視	らんし	396
十二指腸乳頭部腺腫	D135	十二指腸乳頭部腺腫	じゅうにしちょうにゅうとうぶせんしゅ	396
外眼筋麻痺	H498	外眼筋麻痺	がいがんきんまひ	395
項部痛	M5422	項部痛	こうぶつう	395
発作性心房頻拍	I471	発作性心房頻拍	ほっさせいしんぼうひんぱく	394
出血性胃炎	K290	出血性胃炎	しゅっけつせいいえん	394
上衣腫	C719	上衣腫	じょういしゅ	394
卵巣奇形腫	D27	卵巣奇形腫	らんそうきけいしゅ	393
壊死性血管炎	M319	壊死性血管炎	えしせいけっかんえん	393
胼胝	L84	胼胝	べんち	393
合趾症	Q709	合趾症	ごうししょう	393
全身性アミロイドーシス	E859	全身性アミロイドーシス	ぜんしんせいあみろいどーしす	392
腎アミロイドーシス	E850	腎アミロイドーシス	じんあみろいどーしす	392
顎関節脱臼	S030	顎関節脱臼	がくかんせつだっきゅう	392
口唇ヘルペス	B001	口唇ヘルペス	こうしんへるぺす	391
下顎歯肉癌	C031	下顎歯肉癌	かがくしにくがん	390
不器用	F82	不器用	ぶきよう	390
膝関節脱臼	S831	膝関節脱臼	しつかんせつだっきゅう	390
腹壁腫瘤	R222	腹壁腫瘤	ふくへきしゅりゅう	389
眼球破裂	S053	眼球破裂	がんきゅうはれつ	389
虫垂腫瘍	D373	虫垂腫瘍	ちゅうすいしゅよう	389
脳動脈瘤破裂	I609	脳動脈瘤破裂	のうどうみゃくりゅうはれつ	389
キャッスルマン病	D477	キャッスルマン病	きゃっするまんびょう	388
神経ベーチェット病	M352	神経ベーチェット病	しんけいべーちぇっとびょう	387
真性包茎	N47	真性包茎	しんせいほうけい	387
黄斑症	H353	黄斑症	おうはんしょう	387
回帰性リウマチ	M1239	回帰性リウマチ	かいきせいりうまち	386
誇大妄想	F220	誇大妄想	こだいもうそう	385
咽後膿瘍	J390	咽後膿瘍	いんごのうよう	385
稗粒腫	L720	稗粒腫	はいりゅうしゅ	385
鼻涙管閉鎖症	H045	鼻涙管閉鎖症	びるいかんへいさしょう	384
嗅覚異常	R431	嗅覚異常	きゅうかくいじょう	384
失外套症候群	G969	失外套症候群	しつがいとうしょうこうぐん	384
大動脈周囲リンパ節転移	C772	大動脈周囲リンパ節転移	だいどうみゃくしゅういりんぱせつてんい	383
外傷性てんかん	T905	外傷性てんかん	がいしょうせいてんかん	383
胆管ステント閉塞	T855	胆管ステント閉塞	たんかんすてんとへいそく	382
健忘症	R413	健忘症	けんぼうしょう	382
脊柱側弯症	M4199	脊柱側弯症	せきちゅうそくわんしょう	381
脊椎骨折	T08-0	脊椎骨折	せきついこっせつ	381
腓腹部痛	M7966	腓腹部痛	ひふくぶつう	381
遅発性内リンパ水腫	H810	遅発性内リンパ水腫	ちはつせいないりんぱすいしゅ	381
スワンネック変形	M200	スワンネック変形	すわんねっくへんけい	380
高カルシウム尿症	E835	高カルシウム尿症	こうかるしうむにょうしょう	380
松果体腫瘍	D445	松果体腫瘍	しょうかたいしゅよう	379
棘突起骨折	T08-0	棘突起骨折	きょくとっきこっせつ	379
下大静脈欠損	Q268	下大静脈欠損	かだいじょうみゃくけっそん	379
胎児頻脈	O680	胎児頻脈	たいじひんみゃく	377
感情鈍麻	R453	感情鈍麻	かんじょうどんま	377
絨毛膜羊膜炎	O411	絨毛膜羊膜炎	じゅうもうまくようまくえん	377
肺動脈瘤	I281	肺動脈瘤	はいどうみゃくりゅう	377
不全片麻痺	G819	不全片麻痺	ふぜんへんまひ	377
異物肉芽腫	M6029	異物肉芽腫	いぶつにくげしゅ	376
悪性神経膠腫	C719	悪性神経膠腫	あくせいしんけいこうしゅ	375
膀胱腫瘤	N328	膀胱腫瘤	ぼうこうしゅりゅう	375
乳癌骨転移	C795	乳癌骨転移	にゅうがんこつてんい	374
精巣癌	C629	精巣癌	せいそうがん	374
上腕痛	M7962	上腕痛	じょうわんつう	374
前庭障害	H819	前庭障害	ぜんていしょうがい	374
結腸憩室炎	K573	結腸憩室炎	けっちょうけいしつえん	373
腰椎変性すべり症	M4316	腰椎変性すべり症	ようついへんせいすべりしょう	372
頚部腫瘍	D487	頚部腫瘍	けいぶしゅよう	372
透析困難症	T809	透析困難症	とうせきこんなんしょう	372
下肢不全麻痺	G831	下肢不全麻痺	かしふぜんまひ	372
卵巣境界悪性腫瘍	D391	卵巣境界悪性腫瘍	らんそうきょうかいあくせいしゅよう	372
精索静脈瘤	I861	精索静脈瘤	せいさくじょうみゃくりゅう	372
平衡障害	R42	平衡障害	へいこうしょうがい	372
筋腫合併妊娠	O341	筋腫合併妊娠	きんしゅがっぺいにんしん	371
インフルエンザＢ型	J101	インフルエンザＢ型	いんふるえんざびーがた	371
尿道腫瘍	D413	尿道腫瘍	にょうどうしゅよう	371
ＭＲＳＡ肺炎	J152	ＭＲＳＡ肺炎	ＭＲＳＡはいえん	371
腎盂腫瘍	D411	腎盂腫瘍	じんうしゅよう	370
顔面血管腫	D180	顔面血管腫	がんめんけっかんしゅ	369
唾液腺炎	K112	唾液腺炎	だえきせんえん	369
顎下腺腫瘍	D370	顎下腺腫瘍	がくかせんしゅよう	368
好酸球性多発血管炎性肉芽腫症	M301	好酸球性多発血管炎性肉芽腫症	こうさんきゅうせいたはつけっかんえんせいにくげしゅしょう	368
急性化膿性胆管炎	K830	急性化膿性胆管炎	きゅうせいかのうせいたんかんえん	368
抜歯後疼痛	T888	抜歯後疼痛	ばっしごとうつう	368
炎症後色素沈着	L810	炎症後色素沈着	えんしょうごしきそちんちゃく	368
妊娠高血圧腎症	O149	妊娠高血圧腎症	にんしんこうけつあつじんしょう	367
網膜静脈閉塞症	H348	網膜静脈閉塞症	もうまくじょうみゃくへいそくしょう	367
新生児慢性肺疾患	P279	新生児慢性肺疾患	しんせいじまんせいはいしっかん	367
外傷性気胸	S270	外傷性気胸	がいしょうせいききょう	367
擦過創	T140	擦過創	さっかそう	367
同名半盲	H534	同名半盲	どうめいはんもう	367
頭蓋底軟骨肉腫	C410	頭蓋底軟骨肉腫	とうがいていなんこつにくしゅ	365
慢性壊死性肺アスペルギルス症	B441	慢性壊死性肺アスペルギルス症	まんせいえしせいはいあすぺるぎるすしょう	364
低酸素性脳症	G931	低酸素性脳症	ていさんそせいのうしょう	363
角膜浮腫	H182	角膜浮腫	かくまくふしゅ	362
心臓喘息	I501	心臓喘息	しんぞうぜんそく	362
肘内障	M2492	肘内障	ちゅうないしょう	362
非アルコール性脂肪性肝炎	K760	非アルコール性脂肪性肝炎	ひあるこーるせいしぼうせいかんえん	361
早期破水	O429	早期破水	そうきはすい	361
脾腫瘍	D377	脾腫瘍	ひしゅよう	361
運動ニューロン疾患	G122	運動ニューロン疾患	うんどうにゅーろんしっかん	360
上顎骨骨折	S0240	上顎骨骨折	じょうがくこつこっせつ	360
脊椎分離症	M4309	脊椎分離症	せきついぶんりしょう	360
難治性胃潰瘍	K259	難治性胃潰瘍	なんちせいいかいよう	360
眼裂狭小	H025	眼裂狭小	がんれつきょうしょう	359
耳管狭窄症	H681	耳管狭窄症	じかんきょうさくしょう	359
スギ花粉症	J301	スギ花粉症	すぎかふんしょう	359
口臭	R196	口臭	こうしゅう	359
結膜浮腫	H114	結膜浮腫	けつまくふしゅ	358
小脳橋角部腫瘍	D431	小脳橋角部腫瘍	しょうのうきょうかくぶしゅよう	358
続発性気胸	J938	続発性気胸	ぞくはつせいききょう	357
毛細血管拡張性肉芽腫	L980	毛細血管拡張性肉芽腫	もうさいけっかんかくちょうせいにくげしゅ	357
新生児敗血症	P369	新生児敗血症	しんせいじはいけつしょう	357
２型双極性障害	F318	２型双極性障害	にがたそうきょくせいしょうがい	356
急性根尖性歯周炎	K044	急性根尖性歯周炎	きゅうせいこんせんせいししゅうえん	356
腰椎横突起骨折	S3200	腰椎横突起骨折	ようついおうとっきこっせつ	356
ヘモクロマトーシス	E831	ヘモクロマトーシス	へもくろまとーしす	356
