患者表現	出現形	標準病名
ひんみゃく	頻拍	頻拍症
ひんみゃくほっさ	動悸発作	動悸
ひんんつおう	夜間頻尿	夜間頻尿症
ひーひー	喘鳴	喘鳴
びくびく	痙攣	痙攣
びくびくする	痙攣発作	痙攣発作
びっこ	歩行障害	歩行障害
びっこを引く	歩行困難	歩行困難
びまん	びまん性粒状影	胸部異常陰影
びまん性の粒のような影がレントゲンで映る	びまん性粒状影	胸部異常陰影
びまん性小粒状影	びまん性粒状影	胸部異常陰影
びまん性肺胞出血	肺胞出血,心窩部不快感	肺胞出血,心窩部不快
びまん性肺胞出血症候群	びまん性肺胞出血	肺胞出血
びまん状の影	びまん性粒状影	胸部異常陰影
びらん	粘膜発赤,びまん性粒状影	発赤,胸部異常陰影
びりびり	痺れ,しびれ	しびれ感
びりびりぐる	しびれ	しびれ感
びりびりする	しびれ感,しびれ,痺れ感,痺れ	しびれ感
びりびり感	痺れ感	しびれ感
びれる	痺れ	しびれ感
びんぼうゆすり	安静時振戦	静止時振戦
ぴりぴりした感覚で平常でなくなる	痺れ	しびれ感
ぴりぴりする	しびれ感	しびれ感
ふえいまや	頻脈性不整脈	頻脈性不整脈
ふかい	胃部不快感	腹部不快感
ふかいかん	上腹部不快感	腹部不快感
ふくしさりょう	巨大腫瘤	腫瘤
ふくすいがなおるのはむずかしい	難治性腹水	難治性腹水
ふくすいに、ちが、まざる。	血性腹水	血性腹水
ふくつう	腹部痛,腹痛発作	腹痛症
ふくぶ	腹部膨隆	腹部膨満
ふくぶ異常	腹部違和感	腹部不快感
ふくまん	大量腹水	腹水症
ふくらはぎがむくむ	下腿浮腫	下腿浮腫
ふくらはぎのむくみ	下腿浮腫	下腿浮腫
ふくらみ	膨満	腹部膨満
ふくれる	むくみ	浮腫
ふけ	痂皮	痂皮
ふしくれ	皮下結節　	
ふしゅ	粘膜浮腫,むくみ,圧痕浮腫	浮腫
ふせいみゃく	頻脈性不整脈,徐脈性不整脈	頻脈性不整脈,徐脈性不整脈
ふつうにあるけない	歩行障害	歩行障害
ふとりすぎではいからちがでる	びまん性肺胞出血	肺胞出血
ふとる	体重増加	体重増加
ふめい	感覚障害	体感異常
ふらつき	眩暈,めまい,浮動性めまい,めまい感,歩行困難,歩行障害	めまい,めまい感,歩行困難,歩行障害
ふらつき感	めまい感	めまい感
ふらつく	構音障害,めまい,歩行困難,浮動性めまい,失調性歩行,眩暈	構音障害,めまい,歩行困難,失調性歩行
ふらつくこと	眩暈	めまい
ふらふら	ふらつき,めまい,歩行困難	めまい,歩行困難
ふらふらする	ふらつき,眩暈,浮動性めまい,めまい感,失調性歩行,めまい,意識レベルの低下,意識障害	めまい,めまい感,失調性歩行,意識障害
ふらふらとした不安定でぎこちない歩行	失調性歩行	失調性歩行
ふらふらと歩く	失調性歩行	失調性歩行
ふらふらゆれている感じ	浮動性めまい	めまい
ふりょう	顔色不良,経口摂取不良	顔面蒼白,摂食機能障害
ふるえ	振戦,手指振戦,安静時振戦,けいれん発作,けいれん,痙攣	振戦,手指振戦,静止時振戦,てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,痙攣
ふるえる	振戦,痙攣	振戦,痙攣
ふるえる発作	痙攣発作	痙攣発作
ふわふわ	意識障害	意識障害
ふわふわする	浮動性めまい	めまい
ふわふわする  	めまい	めまい
ふわふわするめまい	浮動性めまい	めまい
ふわふわする感じ	浮動性めまい	めまい
ふわふわとしためまい	浮動性めまい	めまい
ぶじじ	皮下出血斑	皮下出血
ぶつう	右胸部痛,左上腹部痛	側胸部痛,上腹部痛
ぶつぶつ	発疹,皮疹	発疹
ぶつぶつができる	発疹	発疹
ぶつぶつが出る	発疹	発疹
ぶつぶつが出来る	発疹	発疹
ぶづぶづでぎだ	皮疹	発疹
ぶるぶるする	痙攣	痙攣
へいじょうでない行動	異常行動	異常行動
へその上あたりのおなかが嫌な感じ	上腹部不快感	腹部不快感
へたれている	意識レベルの低下,易疲労感	意識障害,易疲労感
へんか	浮腫状変化	浮腫
へんだ	異常行動	異常行動
ほうけている	意識レベルの低下	意識障害
ほこう	失調性歩行	失調性歩行
ほっさ	動悸発作	動悸
ほっしん	皮疹	発疹
ほっせき	粘膜発赤	発赤
ほてり	熱感,微熱,熱	ほてり,微熱,発熱
ほてる	微熱	微熱
ほほがピンク	CO２ナルコーシス	
ぼうしつ	房室回帰性頻拍	頻拍症
ぼうっとしている	意識レベルの低下	意識障害
ぼうまん	膨満	腹部膨満
ぼうりゅうしん	丘疹	丘疹
ぼけ	記銘力低下,物忘れ,記憶障害	記銘力低下,健忘症,記憶障害
ぼけている	見当識障害	見当識障害
ぼける	物忘れ	健忘症
ぼっぐり	突然死	突然死
ぼつぼつ	発疹,皮疹	発疹
ぼつぼつができる	発疹	発疹
ぼんやりしている	軽度意識障害	意識障害
ぼんやりして返事があいまい	意識障害	意識障害
ぼーっとする	意識レベルの低下,意識障害	意識障害
ぽっかりあいたように見える影	空洞影	胸部異常陰影
ぽっくり	突然死	突然死
ぽっくり死ぬ	突然死	突然死
ぽっくり病	突然死	突然死
ぽっくり逝く	突然死	突然死
またちがでてきたー	再出血	出血
また出血した	再出血	出血
また血ぃ出た	再出血	出血
また血がでる	再出血	出血
また血が出た	再出血	出血
また血が出る	再出血	出血
まだら	出血斑	斑状出血
まだらな出血	点状出血	点状出血
まだらに赤くなっとる	点状出血	点状出血
まっすぐ歩けない	失調性歩行	失調性歩行
まっすぐ立てない	ふらつき	めまい
まったく有酸素呼吸をしないこと	無呼吸	無呼吸発作
まともに歩けない	失調性歩行	失調性歩行
まひ	温痛覚低下,しびれ,痺れ,四肢脱力,けいれん,痙攣,感覚障害	知覚鈍麻,しびれ感,四肢脱力,痙攣,体感異常
まひなどが重なって起きてる	痙攣重積状態	痙攣重積発作
まひなどが重なる	痙攣重積	痙攣重積発作
まひる	感覚障害	体感異常
まぼろし	幻覚	幻覚
まぼろしが見える症状	幻覚	幻覚
まんぷく	腹満感	腹部膨満
みぎのはらがいたい。	右上腹部痛	上腹部痛
みぎのむねがいたい	右胸痛	胸痛
みぎばらいわす	右下腹部痛	下腹痛,腸仙痛
みぎむねいた	右胸部痛	側胸部痛
みぎむねいわす	右胸痛,右側胸部痛	胸痛
みぎむねぶつう	右胸部痛	側胸部痛
みず	大量腹水,腹水	腹水症
みずがたまる	膵性胸水	胸水検査異常
みずっぱら	大量腹水	腹水症
みずぶくれ	腹水	腹水症
みぞうち痛	上腹部不快感	腹部不快感
みぞおちあたりが気持ち悪い	心窩部不快感	心窩部不快
みぞおちが変	心窩部不快感	心窩部不快
みぞおちが快適でない感じ	心窩部不快感	心窩部不快
みぞおちが痛い	心窩部痛,上腹部痛	心窩部痛,上腹部痛
みぞおちが痛いこと	心窩部痛	心窩部痛
みぞおちの下の痛み	上腹部痛	上腹部痛
みぞおちの不快	心窩部不快感	心窩部不快
みぞおちの不快感	心窩部不快感	心窩部不快
みぞおちの痛み	心窩部不快感,心窩部痛	心窩部不快,心窩部痛
みぞおちの違和感	心窩部不快感	心窩部不快
みぞおち不快感	心窩部不快感	心窩部不快
みぞおち痛	心窩部不快感,心窩部痛	心窩部不快,心窩部痛
みぞおち違和感	上腹部不快感	腹部不快感
みぞおち部分に感じる不快な感覚	心窩部不快感	心窩部不快
みみしたせんしゅちょう	耳下腺腫脹	耳下腺腫脹
みゃくがない	頻脈性不整脈	頻脈性不整脈
むかついて吐く	嘔気嘔吐	嘔気,嘔吐症
むかつき	上腹部不快感,悪心,胃部不快感,吐き気,胸部不快感,悪心嘔吐,心窩部不快感,胸部圧迫感,胸部違和感	腹部不快感,悪心,嘔気,胸部不快感,悪心,嘔吐症,心窩部不快,胸内苦悶
むかつく	吐き気	嘔気
むかむか	上腹部不快感	腹部不快感
むかむかする	悪心,上腹部不快感	悪心,腹部不快感
むきりょく	記銘力低下	記銘力低下
むくみ	浮腫,下腿浮腫,全身浮腫,全身性浮腫,浮腫性変化,圧痕性浮腫,浮腫状変化,粘膜浮腫,圧痕浮腫,腫大,下肢浮腫,両下腿浮腫,顔面浮腫,四肢浮腫,両下肢浮腫,全身リンパ節腫脹,軽度腫大,ｐｉｔｔｉｎｇ　ｅｄｅｍａ,むくみ,皮下腫瘤,両側下腿浮腫,腹水	浮腫,下腿浮腫,全身性浮腫,リンパ節腫大,下肢浮腫,顔面浮腫,四肢浮腫,皮下腫瘤,腹水症
むくみがたくさん発生	多発性腫瘤	腫瘤
むくみができること	浮腫性変化	浮腫
むくみが多数ある	多発腫瘤	腫瘤
むくみのある部分を押して放置してもあとが残るもの	ｐｉｔｔｉｎｇ　ｅｄｅｍａ	浮腫
むくみのこと	浮腫	浮腫
むくむ	浮腫,下肢浮腫,全身浮腫,両下腿浮腫,浮腫性変化,両下肢浮腫,皮下腫瘤	浮腫,下肢浮腫,全身性浮腫,下腿浮腫,皮下腫瘤
むくんだ状態に変化	浮腫状変化	浮腫
むくんでいる	むくみ	浮腫
むくんどる	浮腫状変化	浮腫
むしさされ	皮下出血斑	皮下出血
むすび	硬結	硬結
むせる	咳嗽,咳	咳
むないでえ	胸痛	胸痛
むなぐるしい	胸部絞扼感	胸部不快感
むにょう	無尿状態	無尿
むねいた	胸痛	胸痛
むねいわす	胸部不快感,胸部痛,胸部違和感	胸部不快感,胸痛
むねおされるかん	前胸部圧迫感	胸部不快感
むねがいたい	胸痛,胸部痛,胸痛発作	胸痛
むねがおかしい	胸部違和感	胸部不快感
むねがざわざわする	胸部違和感	胸部不快感
むねがしめつけられる	胸部絞扼感	胸部不快感
むねのいたみ	前胸部圧迫感,右胸部痛,左胸部痛,胸苦	胸部不快感,側胸部痛,胸痛
むねのかげ	胸部異常影	胸部異常陰影
むねやけ	上腹部不快感,腹部不快感,胸痛	腹部不快感,胸痛
むね痛	胸部痛	胸痛
めがくらむ	眩暈	めまい
めちゃ血出る	大量出血	多量出血
めっさいたい	激痛	疼痛
めっちゃ痛い	激痛	疼痛
めまい	ふらつき,めまい感,浮動性めまい,眼前暗黒感,意識障害,頭重感,軽度意識障害,めまい,一過性意識障害	めまい,めまい感,眼前暗黒,意識障害,頭重感,一過性意識障害
めまいがする	ふらつき,めまい感	めまい,めまい感
めまいがする感じ	めまい感	めまい感
めまいぶっごぎ	意識障害	意識障害
めまう	眩暈,めまい	めまい
もうすでに死んでいる	壊死	壊死
もうろう	意識レベルの低下,意識障害,意識混濁	意識障害,意識混濁
もうろうとしてる	昏迷	昏迷
もうろうとする	意識レベルの低下	意識障害
もう一度出血すること	再出血	出血
もう覚えられない	記銘力低下	記銘力低下
もたれ	腹部不快感,膨満	腹部不快感,腹部膨満
もどしそう	嘔気	嘔気
もどす	嘔吐,吐き気	嘔吐症,嘔気
ものが呑み込めない	嚥下障害	嚥下障害
ものが見にくい	眼前暗黒感	眼前暗黒
ものが食べにくい	嚥下障害	嚥下障害
ものが食べれない	経口摂取困難	経口摂取困難
ものに触る感覚や熱い冷たいなどの感覚が正しくわからない症状	感覚異常	感覚異常症
ものわすれ	記銘力低下	記銘力低下
もの覚えが悪い	記銘力障害	記銘力低下,記憶障害
ももがむくむ	下腿浮腫	下腿浮腫
もものしゅよう	下腿浮腫	下腿浮腫
もれ	夜間頻尿	夜間頻尿症
やし	全身浮腫,痺れ	全身性浮腫,しびれ感
やせた	体重減少	体重減少
やせる	体重減少	体重減少
やめる　	痛み	疼痛
ややねつっぽい	微熱	微熱
やや熱がある	微熱	微熱
やるきがない	倦怠感	倦怠感
やる気がでない	脱力	脱力感,筋脱力
やる気が出ない	虚脱,倦怠感	虚脱,倦怠感
やる気が起きない。	全身倦怠感	全身倦怠感
やる気なし	脱力感,意識レベルの低下	脱力感,意識障害
ゆっくりとしか動けない	寡動	行動緩慢
ゆっくり歩ける	歩行障害	歩行障害
ゆれる	ふらつき	めまい
よかんひんにょう	夜間頻尿	夜間頻尿症
よくおしっこに行く	頻尿	多尿,頻尿症
よくわからない	見当識障害	見当識障害
よくわからないが熱がでる	不明熱	不明熱
よく咳が出る	慢性咳嗽	慢性咳嗽
よく喋れん	失語症	失語症
よく聞こえない	構音障害	構音障害
よく見えない	見当識障害	見当識障害
よく見ると血が混じっている尿	顕微鏡的血尿	顕微鏡的血尿
よく飲む	多飲	多飲症
よこはらいたみ	側腹部痛	側腹部痛
よっぱらい	呂律障害,失調性歩行	構音障害,失調性歩行
よぬ飲み込めない	嚥下障害	嚥下障害
よろけ歩行	失調性歩行	失調性歩行
よろつく	ふらつき	めまい
りゅう	粒状陰影	胸部異常陰影
りょうぞう	気管支透亮像	胸部異常陰影
りょうももがはれた	両側下腿浮腫	下腿浮腫
りんぱ	左頚部リンパ節腫脹	頚部リンパ節腫脹
りんぱせつがおおくはれる	多発リンパ節腫脹	リンパ節腫大
りんぱせつひだい	腫大リンパ節	リンパ節腫大
りんぱのしゅようがおおきい	腫大リンパ節	リンパ節腫大
ろう	失語	失語症
ろうあ	構音障害	構音障害
ろうさくじいきぎれ	労作時息切れ	息切れ
ろうどうさぎょうじにいきがくるしくなった	労作時呼吸困難	労作時呼吸困難
ろうどうちゅうにいきがくるしくなる	労作時呼吸困難感	労作時呼吸困難
ろれつがおかしい	呂律障害,呂律困難	構音障害
ろれつがまわらない	呂律困難,呂律障害	構音障害
ろれつがまわらなくなる	呂律不良	不明瞭言語
ろれつが回ってない	構音障害	構音障害
ろれつが回らず言葉が不明瞭なこと	呂律不良	不明瞭言語
ろれつが回らない	呂律障害,呂律困難,呂律不良	構音障害,不明瞭言語
ろれつが回らなくうまくしゃべれない	構語障害	構語障害
ろれつが回らん	呂律困難	構音障害
わからない	褐色尿,嚥下痛	ビリルビン尿,嚥下痛
わからない熱	不明熱	不明熱
わき腹がいたい	左下腹部痛	下腹痛,臍下部痛
わき腹が疼く	左側腹部痛	側腹部痛
わき腹が痛い	側腹部痛,左側腹部痛,右側腹部痛,右下腹部痛	側腹部痛,下腹痛,腸仙痛
わき腹が痛む	左上腹部痛	上腹部痛
わき腹の痛み	左側腹部痛	側腹部痛
わき腹痛	右季肋部痛,側腹部痛,左側腹部痛	季肋部痛,側腹部痛
わしぇだ	記憶障害,物忘れ	記憶障害,健忘症
わずかな血尿	顕微鏡的血尿	顕微鏡的血尿
アカタン	皮下出血	皮下出血
アカフケが落ちる	落屑	鱗屑
アザ	出血斑,圧痕浮腫	斑状出血,浮腫
アシドース	高乳酸血症	高乳酸血症
アトピー	発疹,皮疹	発疹
アトピー性皮膚炎	高ＩｇＥ血症	高ＩｇＥ血症
アナフィラキシーショック	全身性炎症反応症候群	全身性炎症反応症候群
アフタ性口内炎	周期性発熱	発熱
アミラーゼが高い血	高アミラーゼ血症	高アミラーゼ血症
アミラーゼという消化酵素が過多である症状	高アミラーゼ血症	高アミラーゼ血症
アミラーゼの数値が高すぎる	高アミラーゼ血症	高アミラーゼ血症
アルカリフォスファターゼという酵素が血液中に多く含まれる症状	高ＡＬＰ血症	高アルカリホスファターゼ血症
アルカリフォスファターゼ（ALP）活性値がが肝胆道系疾患や骨疾患などで上昇すること	高ＡＬＰ血症	高アルカリホスファターゼ血症
アルツハイマー	物忘れ	健忘症
アル中	肝機能異常,多飲	肝機能検査異常,多飲症
アレルギー	高ＩｇＧ血症,高ＩｇＧ４血症,全身性炎症反応症候群,発疹	高ＩｇＧ血症,ＩｇＧ４関連疾患,高ＩｇＧ血症,全身性炎症反応症候群,発疹
アレルギー疾患	高ＩｇＥ血症	高ＩｇＥ血症
イガイガする	咳嗽	咳
イボ	浮腫	浮腫
ウイルスなどの抗原に対して、リンパ球が生産した抗体の量が上昇すること	抗体価上昇	抗体価上昇
エアブロンコグラム	気管支透亮像	胸部異常陰影
エコー	心陰影拡大	胸部異常陰影
エコーに反応しないコブ	低エコー腫瘤	腫瘤
エコー検査で画像上黒い画像を呈するできもの	低エコー腫瘤	腫瘤
エデム	浮腫	浮腫
エヘン虫	咳	咳
オシ	構語障害	構語障害
オシッコがでにくい	排尿困難	排尿困難
オシッコがまったく出ない	無尿状態	無尿
オシッコがマメにでる	頻尿	多尿,頻尿症
オシッコが出しづらい	排尿困難	排尿困難
オシッコが出し難い	排尿障害	排尿障害
オシッコが出にくい	排尿障害,排尿困難	排尿障害,排尿困難
オシッコが近い	頻尿	多尿,頻尿症
オシッコに血が混じる	尿潜血	顕微鏡的血尿
オシッコの時の痛み	排尿時痛	排尿痛
オシッコ出ない	無尿状態	無尿
オデキ	頚部腫脹	頚部腫脹
カゲ	心陰影	胸部異常陰影
カサブタ	痂皮,落屑	痂皮,鱗屑
カチカチ	こわばり	こわばり
カラ咳	乾性咳	乾性咳
カロリーの消費が間に合わない	体重増加	体重増加
カーッペて口から出るもの	痰	喀痰
ガスだまり	腹満	腹部膨満
ガス充満	腹部膨満	腹部膨満
ガス溜	膨満	腹部膨満
ガタガタと手足の屈伸を繰り返すように動かす間代性痙攣	強直性痙攣	強直性痙攣
ガラスのように影が出ている	スリガラス様陰影	胸部異常陰影
ガン	腫瘤病変,腹部リンパ節腫大,ＣＥＡ高値,全身リンパ節腫大,頚部リンパ節腫脹,多発性腫瘤,全身性リンパ節腫脹,浮腫性変化,腫瘍性病変	腫瘤,リンパ節腫大,ＣＥＡ高値,頚部リンパ節腫脹,リンパ節症,浮腫,-1
ガンからくる痛み	癌性疼痛	癌性疼痛
ガンで痛みがある	癌性疼痛	癌性疼痛
ガンによるズキズキ痛	癌性疼痛	癌性疼痛
ガンに伴って腹に水がたまる	難治性腹水	難治性腹水
ガンの一種	左下肢腫脹,粘膜浮腫	下肢腫脹,浮腫
ガンの影響の痛み	癌性疼痛	癌性疼痛
ガングリ	腫瘍性病変	-1
ガングリオン	皮下結節　,腫瘤形成	腫瘤
ガン化	浮腫状変化	浮腫
クインケ浮腫	腸管浮腫	浮腫
クラクラ	ふらつき,めまい	めまい
クラクラする	眩暈,めまい,ふらつき,めまい感	めまい,めまい感
クレアチンキナーゼが正常値より上昇している	高ＣＫ血症	高クレアチンキナーゼ血症
クレアチンキナーゼが正常値より上昇している状態	高ＣＫ血症	高クレアチンキナーゼ血症
ゲボ	嘔吐	嘔吐症
ゲボをはいた	嘔吐	嘔吐症
ゲロ	嘔吐,嘔気嘔吐,吐き気,痰	嘔吐症,嘔気,嘔吐症,嘔気,喀痰
ゲロが出そう	嘔気	嘔気
ゲロが出る	嘔吐	嘔吐症
ゲロる	嘔吐	嘔吐症
ゲロを吐く	嘔吐	嘔吐症
ゲロゲロ	嘔気嘔吐	嘔気,嘔吐症
ゲロ痛	嚥下痛	嚥下痛
コブ	腫瘤,嚢胞性腫瘤,皮下結節　,頚部腫瘤,皮下腫瘤,巨大腫瘤	腫瘤,頚部腫瘤,皮下腫瘤
コブができる	腫瘤形成	腫瘤
コブが形成される	腫瘤形成	腫瘤
コブの映像	腫瘤像	腫瘤
コブ状のできもの	腫瘤	腫瘤
コミュニケーション障害	運動性失語	運動性失語症
コレステロールが高い	高LDH血症	
コンコン	咳	咳
コンコンする	咳	咳
コンコン出る	咳	咳
ゴホゴホと出る	咳	咳
ゴーンと痛い	鈍痛	鈍痛
サドンデス	突然死	突然死
シェーグレン	抗体価上昇	抗体価上昇
シコリ	リンパ節腫大,皮下結節　,リンパ節腫脹	リンパ節腫大
シコリができる	腫瘤形成	腫瘤
シコリの映像所見	腫瘤像	腫瘤
シミ	皮下出血斑,浮腫	皮下出血,浮腫
ショック	痛み,循環不全,末梢循環不全,意識レベル低下	疼痛,急性循環不全,末梢循環不全,末梢循環不全,意識障害
ショック性言語失	失語症	失語症
ショック状態	多臓器不全	多臓器不全
ションベンに血が混じっている	血尿	血尿
ションベンをすると痛い	排尿時痛	排尿痛
ジストロフィー	四肢筋力低下	四肢筋力低下
ジンジンしている感じ	痺れ感	しびれ感
ジンジンする	しびれ感,しびれ,疼痛,痺れ感,痺れ	しびれ感,疼痛
ジーンとする	鈍痛	鈍痛
ジーンとなる感じ	痺れ感	しびれ感
ストレス	労作時呼吸困難感,下腹部痛,疲労感	労作時呼吸困難,下腹痛,疲労感
ストレス障害	物忘れ	健忘症
スパズムspasm	けいれん	痙攣
スポンジのような感覚	温痛覚低下	知覚鈍麻
スリガラスの影	スリガラス影	胸部異常陰影
スリガラス影	スリガラス影	胸部異常陰影
スリガラス状影	スリガラス状陰影	胸部異常陰影
スリガラス陰影	スリガラス影	胸部異常陰影
ズキズキ	痛み	疼痛
ズキズキした頭痛	拍動性頭痛	頭痛
ズキズキする	痛み,疼痛,頭痛,鈍痛	疼痛,頭痛,鈍痛
ズキズキする痛み	疼痛,拍動性頭痛	疼痛,頭痛
ズキズキする頭痛	拍動性頭痛	頭痛
ズキズキと脈打つ頭痛	拍動性頭痛	頭痛
ズキズキやめる　	疼痛	疼痛
ズキズキ痛いから	鈍痛	鈍痛
ズキズキ痛む	疼痛	疼痛
ズキズキ頭痛	拍動性頭痛	頭痛
ズキンズキンする頭痛	拍動性頭痛	頭痛
ズキンズキンと脈打つような頭痛	拍動性頭痛	頭痛
セキ	咳嗽	咳
ゼイゼイ	喘鳴	喘鳴
ゼイゼイした息	喘鳴	喘鳴
ゼイゼイしている	喘鳴	喘鳴
ゼイゼイする	喘鳴,労作時息切れ	喘鳴,息切れ
ゼエゼエ	喘鳴	喘鳴
ゼロゼロする	喘鳴	喘鳴
ゼーゼー	喘鳴	喘鳴
ゼーゼーいう	喘鳴	喘鳴
ゼーゼーする	喘鳴	喘鳴
ゼーゼーヒューヒュー音	喘鳴	喘鳴
ゾクゾクする	悪寒戦慄	悪寒戦慄
ゾクゾクする寒気	悪寒戦慄	悪寒戦慄
タン	膿性痰,喀痰	膿性痰,喀痰
タンに血が混じる	血痰	血痰
タンパクがおかしい	蛋白細胞解離	髄液蛋白細胞数解離
タンパクが多い尿	高度蛋白尿	蛋白尿
タンパクが尿から沢山出ている	高度蛋白尿	蛋白尿
タンパク尿	尿蛋白	蛋白尿
タンパク量の低下	低補体血症	低補体血症
タールなうんこ	タール便	黒色便
タール便	黒色便	黒色便
タール状のうんち	タール便	黒色便
タール状の便	タール便	黒色便
タール状態の便	タール便	黒色便
ダイエット	体重減少,摂食不良	体重減少,摂食機能障害
ダルい	倦怠感,脱力感,全身倦怠感	倦怠感,脱力感,全身倦怠感
ダルさ	全身倦怠感	全身倦怠感
チアノーゼ	黄染	黄疸
チクチク	痛み	疼痛
チクチクする	痛み	疼痛
チクチクする痛み	疼痛	疼痛
チック	異常行動	異常行動
チリチリした呼吸音	ｆｉｎｅ　ｃｒａｃｋｌｅｓ	湿性ラ音
チーズ壊死	乾酪壊死	壊死
ヅキヅキ	疼痛	疼痛
デキモノ	腫瘤形成,皮下腫瘤,巨大腫瘤,腫瘤	腫瘤,皮下腫瘤
デブ	体重増加,腹部膨満	体重増加,腹部膨満
デブる	体重増加	体重増加
トイレが近い	頻尿,夜間頻尿,多尿,排尿障害	多尿,頻尿症,夜間頻尿症,多尿,排尿障害
トイレが近くて何度も夜に目が覚める	夜間頻尿	夜間頻尿症
トイレが長い	多尿	多尿
トイレちかい	夜間頻尿	夜間頻尿症
トイレに行く回数が多く寝ていても目が覚めてしまう	夜間頻尿	夜間頻尿症
トイレ作業が困難	排尿困難	排尿困難
ドキドキ	動悸発作,動悸,頻拍,頻脈	動悸,頻拍症,頻脈症,洞頻脈
ドキドキする	動悸,動悸発作,頻脈	動悸,頻脈症,洞頻脈
ドキドキ痛い頭痛	拍動性頭痛	頭痛
ドキンドキン	拍動性頭痛	頭痛
ドライマウス	口渇,口渇感	口渇症
ドロッとしたウンコ	タール便	黒色便
ナショナリズム	閉塞性換気障害,頚部リンパ節腫大,腫大リンパ節,高ＣＰＫ血症,腹痛発作	閉塞性換気障害,頚部リンパ節腫脹,リンパ節腫大,高クレアチンキナーゼ血症,腹痛症
ナショナル	高アミラーゼ血症	高アミラーゼ血症
ニキビ	紅色丘疹,硬結	紅色丘疹,硬結
ニョウロ	排尿時痛	排尿痛
ネクローシス	壊死	壊死
ネフローゼ症候群	むくみ,圧痕浮腫	浮腫
ノド荒れ	嚥下痛	嚥下痛
ハアハアする	息切れ	息切れ
ハライタ	腹痛発作	腹痛症
バイタルサイン	意識レベルの低下	意識障害
バセドー	頚部腫脹,頚部腫瘤	頚部腫脹,頚部腫瘤
バタバタする	けいれん発作	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作
バチスタ	心陰影	胸部異常陰影
バランス失調	吐気	嘔気
バランス障害	姿勢反射障害	姿勢異常
パニック	意識混濁	意識混濁
パニック障害	動悸発作	動悸
パンパン	むくみ	浮腫
パンパンに張ってる	むくみ	浮腫
パーキンソン	安静時振戦,失調性歩行	静止時振戦,失調性歩行
パーキンソン病	寡動,安静時振戦	行動緩慢,静止時振戦
ヒューヒューいう	喘鳴	喘鳴
ヒュー音	喘鳴	喘鳴
ヒーヒー	喘鳴	喘鳴
ビクビク	けいれん	痙攣
ビクビクする	けいれん発作,けいれん	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,痙攣
ビリつき	しびれ	しびれ感
ビリビリ	しびれ感,痺れ感,しびれ	しびれ感
ビリビリした感じ	しびれ感	しびれ感
ビリビリする	しびれ,痺れ感,痺れ,しびれ感	しびれ感
ビリビリすること	痺れ感	しびれ感
ビリビリする感じ	痺れ感	しびれ感
ビリビリ感	痺れ,痺れ感	しびれ感
ビリルビンが高い	高ビリルビン血症	高ビリルビン血症
ビリルビン濃度が高い	高ビリルビン血症	高ビリルビン血症
ビリルピンが高い	高ビリルビン血症	高ビリルビン血症
ビルビリンが高い状態	高ビリルビン血症	高ビリルビン血症
ビンタがいてぇ	頭重感	頭重感
ピクピク	けいれん発作,けいれん	てんかん様発作,痙攣発作,痙攣重積発作,全身痙攣発作,痙攣
ピクピクする	けいれん,痙攣発作,痙攣	痙攣,痙攣発作
ピリピリ	痺れ	しびれ感
ピリピリする	しびれ,痺れ	しびれ感
ピリピリする感じ	痺れ感	しびれ感
ピリピリとしびれている	痺れ感	しびれ感
ピリピリ感ジンジン感を伴う感覚	しびれ	しびれ感
フィーバー	微熱,発熱	微熱,発熱
フケ	落屑	鱗屑
フラフラ	浮動性めまい	めまい
フラフラする	ふらつき,めまい感,眩暈,意識障害	めまい,めまい感,意識障害
フラフラするがよ	眩暈	めまい
フラフラまたはクラクラする	めまい感	めまい感
フラフラ感	めまい感	めまい感
フワフワする	ふらつき	めまい
フワフワめまい	浮動性めまい	めまい
ブツブツ	発疹,皮疹	発疹
ブツブツ出る	発疹	発疹
ブラックアウト	眼前暗黒感	眼前暗黒
ブルブルしとる	けいれん	痙攣
ブルブル震える	悪寒戦慄	悪寒戦慄
ブローカー失語	運動性失語	運動性失語症
ブローカ失語	運動性失語	運動性失語症
ヘルペス	紅色丘疹	紅色丘疹
ヘンコ	異常行動	異常行動
ボケ	物忘れ,記憶障害,見当識障害,感覚障害	健忘症,記憶障害,見当識障害,体感異常
ボケとる	物忘れ	健忘症
ボケる	記憶障害,見当識障害,物忘れ	記憶障害,見当識障害,健忘症
ポックリ死ぬ	突然死	突然死
ポックリ病	突然死	突然死
ポッコリお腹	腹部膨隆	腹部膨満
ポツポツ	皮疹	発疹
ポリープ	腫瘍性病変,肺腫瘤	-1,肺腫瘤
マヒ	感覚障害,しびれ,感覚鈍麻	体感異常,しびれ感,感覚異常症
マヒで呼吸できない	呼吸筋麻痺	呼吸麻痺
マロリーワイス	嚥下痛,心窩部痛	嚥下痛,心窩部痛
ミオクロネース	不随意運動	不随意運動症
ミミズ腫れ	圧痕浮腫	浮腫
ムカムカ	胸部不快感,嘔気	胸部不快感,嘔気
ムカムカして吐いてしまう症状	悪心嘔吐	悪心,嘔吐症
ムカムカして気持ち悪い	嘔気嘔吐,吐き気	嘔気,嘔吐症,嘔気
